company_name,branch_count,license_count,need_payment,payment_plan
太子,2,0,1,6
成峰,2,0,1,6
百發,1,0,1,6
保東,2,0,1,6
義鋒,3,0,1,6
聯福,19,0,1,6
台釱,6,0,1,6
環球,2,2,0,6
聯合,5,0,1,6
感動,19,0,1,6
六六屋,7,0,1,6
怡呈,6,0,1,6
佳展,6,0,1,6
達文西,5,0,1,6
超訊,8,0,1,6
誠訊,9,0,1,6
泛都,5,0,1,6
辰銘,3,0,1,6
正欣,2,9,0,6
桃鶯,9,0,1,6
翔生,1,0,1,6
src2008,0,0,0,6
遠寬,5,0,1,6
馹灃,2,14,0,6
威勝,7,0,1,6
齊越,2,0,1,6
航聯,2,0,1,6
祺申,1,19,0,6
摩斯,29,0,1,6
富亞士,1,0,1,6
歐肯得,2,4,0,6
鉅廷,5,8,0,6
POSV3測試專用,6,289,0,6
金馬講,9,0,1,6
遠輝,1,0,1,6
邦喬,4,0,1,6
卓盛,32,0,1,6
星威,3,0,1,6
全葳,1,0,1,6
光速,2,0,1,6
艾瑪,2,0,1,6
成翊,1,0,1,6
Demo用,1,65,0,6
家智,2,0,1,6
祐祐,1,0,1,6
丞品,1,0,1,6
捷迅,1,0,1,6
均威,2,0,1,6
肝鐵仁,0,0,0,6
翰諾,1,2,0,6
太和,2,0,1,6
關廟,2,0,1,6
禾創,2,5,0,6
海悅,2,0,1,6
台哥大白河,1,0,1,6
昊星,3,0,1,6
君品,2,0,1,6
同音,2,0,1,6
兆洋,3,0,1,6
天成,5,0,1,6
立亞,6,0,1,6
飛龍,1,2,0,6
金竑,2,2,0,6
鑫麗琪,2,0,1,6
同興,21,0,1,6
睿閎,2,0,1,6
新錩,1,5,0,6
乙希,5,30,0,6
有支手機,3,0,1,1
曄成,1,4,0,6
JH手機快修,1,1,0,6
紳鴻,1,0,1,1
宏記,1,2,0,6
永騰,3,18,0,6
豐宏,5,-2,1,6
鈞凱勝,2,8,0,6
妡球,2,4,0,6
首麗,10,50,0,6
森昱,1,1,0,6
浩瀚,1,2,0,6
雲端,1,5,0,6
水里遠傳,2,5,0,6
法博,3,24,0,6
敦富,1,1,0,6
久旺,1,2,0,6
杉杉,1,0,1,6
冠均,1,2,0,6
布魯斯,2,0,1,1
丞澤,5,45,0,6
靈思,4,6,0,6
膜匠,3,2,1,6
坤和,1,2,0,6
翔翔,2,4,0,6
合盈,1,2,0,6
鑫譽,1,1,0,6
希佴,2,6,0,6
欣沅,1,4,0,6
零壹通訊行,7,63,0,6
銘小向,1,1,0,6
誠恩,1,2,0,6
飛騰,3,9,0,6
千訊,2,2,0,6
大欣,3,6,0,6
圓圈,8,7,1,6
樂瘋玩,1,5,0,6
霓德,1,2,0,6
馬尼,12,9,1,6
永立,3,2,1,6
昇沅,1,5,0,6
昱昇,1,4,0,6
鉅銓,1,1,0,6
健權,1,3,0,6
光達,1,3,0,6
巨易,2,4,0,6
起點,1,4,0,6
柏叡2,1,5,0,6
綸,1,0,1,6
澄虹,1,0,1,6
極速,1,0,1,6
灝瑞,1,2,0,6
鑫盛,3,30,0,6
儒億,3,14,0,6
奇亞,2,6,0,6
尚吟,3,30,0,6
宇新,6,84,0,6
恆穩,1,-1,1,6
瑞溪,2,10,0,6
巨聿,1,2,0,6
亞玖弟,1,3,0,6
佳遠,1,1,0,6
放鑫,1,1,0,6
拾易,1,5,0,6
胡思可,1,5,0,6
葳遠,1,5,0,6
祺升,2,0,1,6
均怡,1,0,1,6
艾比,1,0,1,6
柏瑜,1,1,0,6
昶詠,1,6,0,6
